index,bacteria,chemical,concentration,model,t_min,t_max,t_range,y_min,y_max_data,y_mean,y_std,y_range,y_mean_adjusted,y_std_adjusted,auc_per_hour,y0,ymax,mu_max,h0,t_lag,r_squared,delta_y_max,delta_nu_max,delta_t_lag,delta_auc_per_hour,delta_sum,delta_y_max_norm,delta_nu_max_norm,delta_t_lag_norm,delta_auc_per_hour_norm,delta_sum_norm
845,Alistipes finegoldii DSM 17242,DEA NONOate,1,fit_baranyi_model,0.0,72.75,72.75,0.01723,0.3647,0.11218,0.10841,0.34747,0.09495,0.10841,0.11218,0.02021,0.4673,0.09918,5.74676,57.94079,0.99955,0.0033700000000000396,-0.026759999999999992,-4.56138,0.023099999999999996,-4.5616699999999994,0.6776860375293742,0.39315504216725433,1.4755120013943548,1.0668813736117835,3.6132344547027673
846,Alistipes finegoldii DSM 17242,DEA NONOate,10,fit_baranyi_model,0.0,72.75,72.75,0.01757,0.237,0.0538,0.05689,0.21943,0.03623,0.05689,0.05334,0.01764,0.39564,0.12357,8.50941,68.86294,0.99912,-0.12433,-0.002369999999999997,6.360769999999995,-0.03574000000000001,6.198329999999996,-0.23134430885787716,0.5374600271750027,-0.0038512823665562785,0.33411871427355255,0.6363831502241218
847,Alistipes finegoldii DSM 17242,DEA NONOate,100,fit_baranyi_model,0.0,72.75,72.75,0.01423,0.01813,0.01504,0.00053,0.0039,0.00081,0.00053,0.01503,0.01697,0.01479,0.0,0.0,72.75,0.74244,-0.3432,-0.12594,10.24783,-0.07405,9.704640000000001,-0.6702128795030915,-0.09549215155698779,-0.18931001061841743,-0.011600071398334367,-0.9666151130768311
848,Alistipes finegoldii DSM 17242,DEA NONOate,500,fit_baranyi_model,0.0,72.75,72.75,0.0151,0.02243,0.01637,0.00123,0.00733,0.00127,0.00123,0.01635,0.01598,0.02961,0.32542,23.76555,73.02994,0.84745,-0.3389,0.19948,10.527769999999997,-0.07273,10.315619999999997,-0.6545667703977914,1.506656699306039,-0.22542504633251872,-0.005924445896085993,0.620740436679643
850,Alistipes finegoldii DSM 17242,DETA NONOate,1,fit_baranyi_model,0.0,72.75,72.75,0.01993,0.41103,0.14496,0.14665,0.3911,0.12503,0.14665,0.14561,0.02078,0.42496,0.15832,7.78526,49.17468,0.9994,0.04970000000000002,0.03237999999999999,-13.327489999999997,0.05652999999999998,-13.188879999999997,1.0401014167445162,0.842797878323565,1.8642978392311875,1.3508104803784438,5.098007614677712
851,Alistipes finegoldii DSM 17242,DETA NONOate,10,fit_baranyi_model,0.0,72.75,72.75,0.01697,0.0262,0.01849,0.00166,0.00923,0.00152,0.00166,0.01847,0.01767,0.19972,0.13269,12.69682,95.68728,0.92244,-0.33513,0.006750000000000006,33.18511,-0.07061,32.78612,-0.6519151948087506,0.6673660529396626,-0.9903095913285774,0.018700483676672427,-0.956158249520993
852,Alistipes finegoldii DSM 17242,DETA NONOate,100,fit_baranyi_model,0.0,72.75,72.75,0.0174,0.02073,0.01815,0.0005,0.00333,0.00075,0.0005,0.01814,0.01967,0.01781,0.0,0.37445,72.75,0.88698,-0.3406,-0.12594,10.24783,-0.07094,9.71035,-0.6604017460254451,-0.09549215155698779,-0.18931001061841743,0.011371346039398243,-0.933832562161452
853,Alistipes finegoldii DSM 17242,DETA NONOate,500,fit_baranyi_model,0.0,72.75,72.75,0.01387,0.0174,0.0145,0.00049,0.00353,0.00063,0.00049,0.01449,0.01578,0.01409,0.0,0.0,72.75,0.77303,-0.34392999999999996,-0.12594,10.24783,-0.07459,9.70337,-0.6738705619394996,-0.09549215155698779,-0.18931001061841743,-0.013731930834356358,-0.9724046549492611
854,Alistipes finegoldii DSM 17242,Spermine NONOate,1,fit_baranyi_model,0.0,72.75,72.75,0.01533,0.018,0.01608,0.00053,0.00267,0.00075,0.00053,0.01607,0.0169,0.01556,0.0,3.60416,72.75,0.90882,-0.34332999999999997,-0.12594,10.24783,-0.07301,9.70555,-0.6709087533051795,-0.09549215155698779,-0.18931001061841743,-0.007735502750876638,-0.9634464182314614
855,Alistipes finegoldii DSM 17242,Spermine NONOate,10,fit_baranyi_model,0.0,72.75,72.75,0.01627,0.03337,0.01831,0.00356,0.0171,0.00204,0.00356,0.01827,0.01672,0.04481,0.2177,15.49119,71.15752,0.99597,-0.32796,0.09176000000000001,8.655350000000006,-0.07081000000000001,8.348340000000006,-0.6456185596388393,1.1424938788740984,-0.07916001057920863,0.013432485716398131,0.4311477943724486
